,A,B,C,class
1879,47.15265179582837,-2.1198802172546696,-2.998480345600271,1.0
1880,-21.42115482675878,32.5573388647577,23.326126953648412,0.0
1881,-17.111696332761746,32.011999478823604,19.61939650228566,0.0
1882,-12.80223783876471,31.466660092889505,15.912666050922908,0.0
1883,-8.49277934476768,30.9213207069554,12.205935599560156,0.0
1884,-4.183320850770645,30.3759813210213,8.499205148197404,3.0
1885,-13.578876226756861,29.238174927645787,21.814805599656736,0.0
1886,-9.26941773275983,28.692835541711688,18.108075148293985,0.0
1887,-4.959959238762796,28.14749615577759,14.401344696931233,0.0
1888,-0.6505007447657647,27.60215676984349,10.69461424556848,3.0
1889,3.65895774923127,27.05681738390939,6.987883794205729,3.0
1890,-5.736597626754946,25.919010990533874,20.303484245665054,0.0
1891,-1.4271391327579153,25.373671604599775,16.596753794302302,0.0
1892,2.8823193612391194,24.828332218665675,12.89002334293955,0.0
1893,7.191777855236154,24.282992832731576,9.183292891576798,3.0
1894,11.501236349233189,23.737653446797477,5.476562440214046,1.0
1895,2.105680973246969,22.59984705342196,18.79216289167337,2.0
1896,6.415139467244003,22.05450766748786,15.085432440310619,2.0
1897,10.724597961241038,21.509168281553762,11.378701988947867,1.0
1898,15.034056455238073,20.963828895619663,7.671971537585115,1.0
1899,19.343514949235107,20.418489509685564,3.9652410862223633,1.0
1900,9.94795957324888,19.28068311631005,17.280841537681695,2.0
1901,14.257418067245915,18.73534373037595,13.574111086318943,1.0
1902,18.56687656124295,18.19000434444185,9.867380634956191,1.0
1903,22.876335055239984,17.64466495850775,6.1606501835934395,1.0
1904,27.18579354923702,17.09932557257365,2.4539197322306876,1.0
1905,17.7902381732508,15.961519179198138,15.769520183690013,1.0
1906,22.099696667247834,15.416179793264037,12.06278973232726,1.0
1907,26.40915516124487,14.870840407329938,8.356059280964509,1.0
1908,30.718613655241903,14.325501021395839,4.649328829601757,1.0
1909,35.02807214923893,13.78016163546174,0.9425983782390048,1.0
1910,25.632516773252718,12.642355242086225,14.25819882969833,1.0
1911,29.941975267249752,12.097015856152126,10.551468378335578,1.0
1912,34.251433761246794,11.551676470218025,6.844737926972826,1.0
1913,38.56089225524382,11.006337084283926,3.138007475610074,1.0
1914,42.87035074924085,10.460997698349827,-0.5687229757526779,1.0
1915,33.47479537325464,9.323191304974312,12.746877475706647,1.0
1916,37.78425386725167,8.777851919040213,9.040147024343895,1.0
1917,42.09371236124871,8.232512533106114,5.333416572981143,1.0
1918,46.40317085524574,7.687173147172014,1.6266861216183912,1.0
1919,50.71262934924277,7.141833761237914,-2.0800443297443607,1.0
1920,-17.86117727334438,41.81905284325029,24.244562969504315,0.0
1921,-13.551718779347347,41.27371345731619,20.537832518141563,0.0
1922,-9.242260285350312,40.72837407138209,16.83110206677881,0.0
1923,-4.932801791353281,40.183034685447986,13.12437161541606,0.0
1924,-0.62334329735625,39.63769529951389,9.417641164053308,3.0
1925,-10.018898673342463,38.499888906138374,22.73324161551264,0.0
1926,-5.709440179345432,37.954549520204274,19.026511164149888,0.0
1927,-1.3999816853483935,37.409210134270175,15.319780712787136,0.0
1928,2.909476808648634,36.863870748336076,11.613050261424384,3.0
1929,7.218935302645669,36.31853136240198,7.906319810061632,3.0
1930,-2.176620073340551,35.180724969026464,21.221920261520957,0.0
1931,2.1328384206564834,34.635385583092365,17.515189810158205,0.0
1932,6.442296914653518,34.090046197158266,13.808459358795453,3.0
1933,10.751755408650553,33.54470681122416,10.101728907432701,3.0
1934,15.061213902647587,32.99936742529006,6.394998456069949,3.0
1935,5.6656585266613675,31.861561031914547,19.710598907529274,2.0
1936,9.975117020658402,31.31622164598045,16.003868456166522,2.0
1937,14.284575514655437,30.77088226004635,12.29713800480377,1.0
1938,18.59403400865247,30.22554287411225,8.590407553441018,1.0
1939,22.903492502649506,29.68020348817815,4.883677102078266,1.0
1940,13.507937126663279,28.542397094802638,18.1992775535376,1.0
1941,17.817395620660314,27.99705770886854,14.492547102174846,1.0
1942,22.12685411465735,27.45171832293444,10.785816650812095,1.0
1943,26.436312608654383,26.90637893700034,7.079086199449343,1.0
1944,30.74577110265141,26.36103955106624,3.3723557480865907,1.0
1945,21.350215726665198,25.22323315769072,16.687956199545916,1.0
1946,25.659674220662232,24.677893771756622,12.981225748183164,1.0
1947,29.969132714659274,24.132554385822523,9.274495296820412,1.0
1948,34.2785912086563,23.587214999888424,5.56776484545766,1.0
1949,38.58804970265333,23.041875613954325,1.861034394094908,1.0
1950,29.192494326667124,21.904069220578812,15.176634845554233,1.0
1951,33.50195282066415,21.358729834644713,11.469904394191481,1.0
1952,37.81141131466119,20.813390448710614,7.763173942828729,1.0
1953,42.12086980865822,20.268051062776514,4.056443491465977,1.0
1954,46.43032830265525,19.722711676842412,0.3497130401032251,1.0
1955,37.03477292666904,18.5849052834669,13.66531349156255,1.0
1956,41.34423142066607,18.0395658975328,9.958583040199798,1.0
1957,45.65368991466311,17.4942265115987,6.251852588837046,1.0
1958,49.96314840866014,16.9488871256646,2.5451221374742943,1.0
1959,54.27260690265717,16.4035477397305,-1.1616083138884576,1.0
1960,-14.301199719929983,51.08076682174287,25.16299898536022,0.0
1961,-9.991741225932952,50.53542743580877,21.456268533997466,0.0
1962,-5.682282731935917,49.99008804987467,17.749538082634714,0.0
1963,-1.372824237938886,49.44474866394057,14.042807631271963,3.0
1964,2.9366342560581487,48.89940927800647,10.33607717990921,3.0
1965,-6.458921119928064,47.76160288463095,23.651677631368543,0.0
1966,-2.1494626259310294,47.216263498696854,19.94494718000579,0.0
1967,2.159995868066005,46.670924112762755,16.23821672864304,3.0
1968,6.469454362063033,46.125584726828656,12.531486277280287,3.0
1969,10.778912856060067,45.58024534089456,8.824755825917535,3.0
1970,1.3833574800738475,44.442438947519044,22.14035627737686,0.0
1971,5.692815974070882,43.897099561584945,18.433625826014108,3.0
1972,10.002274468067917,43.351760175650845,14.726895374651356,3.0
1973,14.311732962064951,42.806420789716746,11.020164923288604,3.0
1974,18.621191456061986,42.26108140378265,7.313434471925852,3.0
1975,9.225636080075766,41.123275010407134,20.629034923385177,2.0
1976,13.5350945740728,40.577935624473035,16.922304472022425,2.0
1977,17.844553068069835,40.032596238538936,13.215574020659673,1.0
1978,22.15401156206687,39.48725685260483,9.508843569296921,1.0
1979,26.463470056063905,38.94191746667073,5.802113117934169,1.0
1980,17.067914680077678,37.80411107329522,19.1177135693935,1.0
1981,21.377373174074712,37.25877168736112,15.41098311803075,1.0
1982,25.686831668071747,36.71343230142702,11.704252666667998,1.0
1983,29.99629016206878,36.16809291549292,7.997522215305246,1.0
1984,34.30574865606581,35.62275352955882,4.290791763942494,1.0
1985,24.910193280079596,34.48494713618331,17.60639221540182,1.0
1986,29.21965177407663,33.93960775024921,13.899661764039067,1.0
1987,33.52911026807367,33.39426836431511,10.192931312676315,1.0
1988,37.8385687620707,32.848928978381004,6.486200861313563,1.0
1989,42.14802725606773,32.303589592446905,2.779470409950811,1.0
1990,32.75247188008152,31.1657831990714,16.095070861410136,1.0
1991,37.06193037407855,30.6204438131373,12.388340410047384,1.0
1992,41.37138886807559,30.0751044272032,8.681609958684632,1.0
1993,45.68084736207262,29.529765041269098,4.97487950732188,1.0
1994,49.99030585606965,28.984425655335,1.2681490559591282,1.0
1995,40.59475048008344,27.846619261959482,14.583749507418453,1.0
1996,44.90420897408047,27.301279876025383,10.877019056055701,1.0
1997,49.21366746807751,26.755940490091284,7.170288604692949,1.0
1998,53.52312596207454,26.210601104157185,3.4635581533301973,1.0
1999,57.832584456071565,25.665261718223086,-0.24317229803255458,1.0
2000,-43.64771092282576,-33.979478591956756,26.014779181507265,0.0
2001,-39.338252428828724,-34.524817977890855,22.308048730144513,0.0
2002,-35.0287939348317,-35.070157363824954,18.60131827878176,0.0
2003,-30.719335440834662,-35.61549674975905,14.89458782741901,0.0
2004,-26.409876946837628,-36.16083613569315,11.187857376056257,0.0
2005,-35.80543232282385,-37.29864252906867,24.503457827515582,0.0
2006,-31.495973828826813,-37.84398191500277,20.79672737615283,0.0
2007,-27.186515334829778,-38.38932130093687,17.08999692479008,0.0
2008,-22.877056840832743,-38.93466068687097,13.383266473427327,0.0
2009,-18.567598346835712,-39.48000007280507,9.676536022064575,0.0
2010,-27.96315372282193,-40.61780646618058,22.9921364735239,0.0
2011,-23.653695228824894,-41.16314585211468,19.285406022161148,0.0
2012,-19.34423673482786,-41.70848523804878,15.578675570798396,0.0
2013,-15.034778240830828,-42.25382462398288,11.871945119435644,0.0
2014,-10.725319746833797,-42.79916400991698,8.165214668072892,0.0
2015,-20.12087512282001,-43.93697040329249,21.480815119532217,2.0
2016,-15.811416628822979,-44.48230978922659,17.774084668169465,0.0
2017,-11.501958134825944,-45.02764917516069,14.067354216806713,0.0
2018,-7.192499640828913,-45.57298856109479,10.360623765443961,0.0
2019,-2.8830411468318786,-46.11832794702889,6.653893314081209,0.0
2020,-12.278596522818095,-47.25613434040441,19.96949376554054,0.0
2021,-7.969138028821064,-47.80147372633851,16.26276331417779,0.0
2022,-3.659679534824029,-48.346813112272606,12.556032862815037,0.0
2023,0.6497789591730054,-48.892152498206706,8.849302411452285,0.0
2024,4.95923745317004,-49.437491884140805,5.142571960089533,0.0
2025,-4.43631792281618,-50.57529827751632,18.45817241154886,0.0
2026,-0.12685942881914514,-51.12063766345042,14.751441960186106,0.0
2027,4.1825990651778895,-51.665977049384516,11.044711508823355,0.0
2028,8.492057559174917,-52.211316435318615,7.337981057460603,0.0
